spin,charge_1_3,has_charge,logMass,stable_band,novelty
2.0,-6,1,-8,0,1.7349939716415885
2.0,6,1,-8,1,1.7276266603496893
2.0,-6,1,-7,0,1.7068290207640744
2.0,-5,1,-8,0,1.6944955570150557
2.0,6,1,-7,1,1.6933242273042426
2.0,-6,1,-6,0,1.6812288994199742
2.0,-4,1,-8,0,1.6697250849796892
2.0,-5,1,-7,0,1.665645945942162
2.0,6,1,-6,1,1.661386192801858
2.0,-6,1,-8,1,1.6583123951777
2.0,-6,1,-5,0,1.6583123951777
2.0,-3,1,-8,0,1.6536909861128892
2.0,5,1,-7,1,1.647680978742472
2.0,5,1,-8,1,1.6430296665796305
2.0,-4,1,-7,0,1.6404399056046601
2.0,-5,1,-6,0,1.6394028557240008
2.0,-6,1,-4,0,1.638192134454245
2.0,-6,1,-7,1,1.638192134454245
2.0,6,1,-5,1,1.6319513798279803
2.0,-6,1,-6,1,1.6209722454157454
2.0,-6,1,-3,0,1.6209722454157454
2.0,5,1,-6,1,1.619047619047619
2.0,-3,1,-7,0,1.617821664700875
2.0,-5,1,-5,0,1.6158932858054431
2.0,-5,1,-8,1,1.6158932858054431
2.0,-4,1,-6,0,1.613786971698147
2.0,-6,1,3,1,1.6067459827431418
2.0,-6,1,-2,0,1.6067459827431418
2.0,-6,1,-5,1,1.6067459827431418
2.0,6,1,-4,1,1.605157503874588
2.0,-6,1,-4,1,1.5955934216920484
2.0,-6,1,6,0,1.5955934216920484
2.0,-6,1,-1,0,1.5955934216920482
2.0,-6,1,2,1,1.5955934216920482
2.0,-5,1,-4,0,1.5952380952380953
2.0,-5,1,-7,1,1.5952380952380953
2.0,-4,1,-5,0,1.5898986690282426
2.0,5,1,-5,1,1.5888286305431307
2.0,-6,1,-3,1,1.587579340778062
2.0,-6,1,1,1,1.587579340778062
2.0,-6,1,0,0,1.587579340778062
2.0,-6,1,5,0,1.587579340778062
2.0,-3,1,-6,0,1.5843623580584882
2.0,-6,1,1,0,1.5827514147257384
2.0,-6,1,4,0,1.5827514147257384
2.0,-6,1,0,1,1.5827514147257384
2.0,-6,1,-2,1,1.5827514147257384
2.0,-6,1,2,0,1.5811388300841898
2.0,-6,1,3,0,1.5811388300841898
2.0,6,1,-3,1,1.5811388300841898
2.0,-6,1,-1,1,1.5811388300841898
2.0,4,1,-6,1,1.57808834093386
2.0,-5,1,-3,0,1.577549406997852
2.0,-5,1,-6,1,1.577549406997852
2.0,4,1,-7,1,1.5699849068413843
2.0,-4,1,-7,1,1.5689012866224352
2.0,-4,1,-4,0,1.5689012866224352
2.0,4,1,-8,1,1.565102707575695
2.0,-4,1,-8,1,1.565102707575695
2.0,-5,1,-5,1,1.562927945931077
2.0,-5,1,-2,0,1.562927945931077
2.0,-5,1,3,1,1.562927945931077
2.0,4,1,-5,1,1.562383782525992
2.0,5,1,-4,1,1.5612948867385716
2.0,6,1,-2,1,1.5600235477029682
2.0,-2,1,-8,0,1.5585693189574419
2.0,-3,1,-5,0,1.5534687979236816
2.0,-5,1,6,0,1.5514604340614202
2.0,-5,1,-4,1,1.5514604340614202
2.0,-5,1,2,1,1.55146043406142
2.0,-5,1,-1,0,1.55146043406142
2.0,-4,1,-6,1,1.5509122470939292
2.0,-4,1,-3,0,1.5509122470939292
2.0,-5,1,1,1,1.5432171831522667
2.0,-5,1,0,0,1.5432171831522667
2.0,-5,1,5,0,1.5432171831522667
2.0,-5,1,-3,1,1.5432171831522667
2.0,6,1,-1,1,1.5419309389230644
2.0,-5,1,-2,1,1.538250029067914
2.0,-5,1,4,0,1.538250029067914
2.0,-5,1,1,0,1.538250029067914
2.0,-5,1,0,1,1.538250029067914
2.0,-5,1,3,0,1.536590742882148
2.0,-5,1,-1,1,1.536590742882148
2.0,-5,1,2,0,1.536590742882148
2.0,5,1,-3,1,1.536590742882148
2.0,-4,1,-5,1,1.5360372491704106
2.0,-4,1,3,1,1.5360372491704106
2.0,-4,1,-2,0,1.5360372491704106
2.0,4,1,-4,1,1.534375570068383
2.0,6,1,0,1,1.5269684518879965
2.0,3,1,-5,1,1.5269684518879965
2.0,-3,1,-5,1,1.5269684518879965
2.0,-3,1,3,1,1.5269684518879965
2.0,-3,1,-4,0,1.52529689314733
2.0,3,1,-4,1,1.52529689314733
2.0,-4,1,-4,1,1.5243674573818207
2.0,-4,1,6,0,1.5243674573818207
2.0,-2,1,3,1,1.5243674573818207
2.0,-4,1,-1,0,1.5243674573818204
2.0,-4,1,2,1,1.5243674573818204
2.0,-2,1,-7,0,1.5204576229609146
2.0,-4,1,0,0,1.515976893307772
2.0,-2,1,2,1,1.515976893307772
2.0,-4,1,1,1,1.515976893307772
2.0,-4,1,-3,1,1.515976893307772
2.0,-4,1,5,0,1.515976893307772
2.0,-3,1,-4,1,1.5152288168283161
2.0,-1,1,3,1,1.5152288168283161
2.0,-3,1,-6,1,1.5152288168283161
2.0,-3,1,2,1,1.5152288168283161
2.0,3,1,-6,1,1.5152288168283161
2.0,6,1,1,1,1.5152288168283161
2.0,5,1,-2,1,1.514854640055892
2.0,-2,1,-3,1,1.514854640055892
2.0,-4,1,1,0,1.5109201893528672
2.0,-2,1,1,1,1.5109201893528672
2.0,-2,1,-2,1,1.5109201893528672
2.0,-4,1,4,0,1.5109201893528672
2.0,-4,1,0,1,1.5109201893528672
2.0,-4,1,-2,1,1.5109201893528672
2.0,1,1,-2,1,1.509230856356236
2.0,-4,1,2,0,1.509230856356236
2.0,-4,1,3,0,1.509230856356236
2.0,2,1,-3,1,1.509230856356236
2.0,4,1,-3,1,1.509230856356236
2.0,-4,1,-1,1,1.509230856356236
2.0,-2,1,0,1,1.509230856356236
2.0,-2,1,-1,1,1.509230856356236
2.0,-1,1,-2,1,1.5067873649806418
2.0,-3,1,-3,1,1.5067873649806418
2.0,-1,1,2,1,1.5067873649806418
2.0,3,1,-7,1,1.5067873649806418
2.0,6,1,2,1,1.5067873649806418
2.0,-3,1,1,1,1.5067873649806418
2.0,-3,1,-7,1,1.5067873649806418
2.0,-3,1,-2,1,1.5016997172591886
2.0,-3,1,-8,1,1.5016997172591886
