spin,charge_1_3,logMass,stable_band,baryon,strangeness,charm,beauty,novelty
1.5,-6,2,1,1,0,0,-3,1.922093765778466
0.5,-6,2,1,1,0,0,-3,1.8027756377319946
1.5,-3,2,1,1,0,0,-3,1.7716909687891083
1.5,-6,2,0,1,0,0,-3,1.699673171197595
1.5,-6,4,0,1,0,0,-3,1.699673171197595
1.5,0,2,1,1,0,0,-3,1.674979270186815
1.5,3,2,1,1,0,3,0,1.6414763002993509
1.5,6,2,1,1,0,3,0,1.6414763002993509
0.5,-3,2,1,1,0,0,-3,1.6414763002993509
1.5,-3,2,0,1,0,0,-3,1.5986105077709065
1.5,-3,4,0,1,0,0,-3,1.5986105077709065
1.5,-6,2,1,1,-1,0,-2,1.5833333333333335
1.5,0,4,0,1,0,0,-3,1.5634719199411433
1.5,0,2,0,1,0,0,-3,1.5634719199411433
1.5,-6,2,1,1,0,0,-2,1.5634719199411433
0.5,-6,2,0,1,0,0,-3,1.5634719199411433
0.5,-6,4,0,1,0,0,-3,1.5634719199411433
0.5,0,2,1,1,0,0,-3,1.536590742882148
0.5,6,2,1,1,0,3,0,1.5
0.5,3,2,1,1,0,3,0,1.5
1.5,-3,2,1,1,0,1,-2,1.4624940645653537
1.5,-6,4,0,1,0,0,-2,1.4529663145135578
1.5,-6,4,0,1,-1,0,-2,1.4529663145135578
0.5,-3,4,0,1,0,0,-3,1.4529663145135578
0.5,-3,2,0,1,0,0,-3,1.4529663145135578
0.5,-6,2,1,1,-1,0,-2,1.4361406616345072
1.5,-3,4,0,1,0,1,-2,1.4337208778404378
1.5,0,4,0,1,0,2,-1,1.4337208778404378
1.5,3,4,0,1,0,1,-2,1.4337208778404378
1.5,-6,2,1,1,-3,0,0,1.4166666666666667
0.5,0,4,0,1,0,0,-3,1.4142135623730951
0.5,0,2,0,1,0,0,-3,1.4142135623730951
0.5,-6,2,1,1,0,0,-2,1.4142135623730951
1.5,-6,2,0,1,-1,0,-2,1.3969212178533508
1.5,-3,2,1,1,-1,0,-2,1.3969212178533508
1.5,-6,2,1,1,-2,0,-1,1.3944333775567928
1.5,0,4,0,1,0,1,-2,1.3944333775567928
1.5,-6,3,0,1,0,0,-3,1.3743685418725535
1.5,-6,2,0,1,0,0,-2,1.3743685418725535
1.5,-3,2,1,1,0,0,-2,1.3743685418725535
1.5,-3,4,0,1,-1,0,-2,1.366768288904727
1.5,0,4,0,1,-1,2,0,1.366768288904727
1.5,6,2,1,1,0,2,-1,1.343709624716425
1.5,3,4,0,1,0,3,0,1.343709624716425
1.5,3,4,0,1,0,2,-1,1.343709624716425
1.5,3,2,0,1,0,3,0,1.343709624716425
1.5,-3,2,0,1,0,1,-2,1.3437096247164249
1.5,0,4,0,1,0,2,0,1.3437096247164249
1.5,3,4,0,1,0,0,-2,1.3437096247164249
1.5,-3,4,0,1,0,0,-2,1.3437096247164249
1.5,3,2,0,1,0,2,-1,1.3437096247164249
1.5,3,2,0,1,0,1,-2,1.3437096247164249
1.0,6,4,0,0,0,1,1,1.3437096247164249
1.5,0,2,1,1,0,2,-1,1.3437096247164249
1.5,0,2,1,1,0,1,-2,1.3437096247164249
1.5,-6,2,1,1,-1,0,-1,1.3254978100489057
1.5,0,4,0,1,-1,0,-2,1.3254978100489057
0.0,-6,4,0,0,-1,0,-1,1.3254978100489054
0.0,-6,2,1,0,-1,0,-1,1.3254978100489054
0.5,-6,4,0,1,-1,0,-2,1.3254978100489054
1.0,-6,2,1,0,-1,0,-1,1.3254978100489054
1.0,-6,4,0,0,-1,0,-1,1.3254978100489054
1.5,3,2,1,1,0,2,-1,1.3017082793177759
1.5,-6,2,1,1,-2,0,0,1.3017082793177759
1.5,0,2,0,1,0,2,-1,1.3017082793177759
1.5,6,2,0,1,0,2,-1,1.3017082793177759
1.5,6,2,0,1,0,3,0,1.3017082793177759
1.5,0,2,0,1,0,1,-2,1.3017082793177759
