name,spin_half,charge_1_3,has_charge,Strong,EM,Weak,logMass,stable_band,universal_potential_speed_mps,propagation_fraction
up,1,2,1,1,1,1,0,1,299792458,0.0
down,1,-1,1,1,1,1,0,1,299792458,0.0
charm,1,2,1,1,1,1,3,0,299792458,0.0
strange,1,-1,1,1,1,1,1,0,299792458,0.0
top,1,2,1,1,1,1,5,0,299792458,0.0
bottom,1,-1,1,1,1,1,3,0,299792458,0.0
electron,1,-3,1,0,1,1,-1,1,299792458,0.0
muon,1,-3,1,0,1,1,2,0,299792458,0.0
tau,1,-3,1,0,1,1,3,0,299792458,0.0
nu_e,1,0,0,0,0,1,-7,1,299792458,0.0
nu_mu,1,0,0,0,0,1,-7,1,299792458,0.0
nu_tau,1,0,0,0,0,1,-7,1,299792458,0.0
photon,0,0,0,0,1,0,-9,1,299792458,1.0
gluon,0,0,0,1,0,0,-9,1,299792458,1.0
W,0,3,1,0,1,1,4,0,299792458,0.0
Z,0,0,0,0,0,1,4,0,299792458,0.0
higgs,0,0,0,0,0,0,5,0,299792458,0.0
